ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Days_Since_Enrolled,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment,Kidhome_transformed,MntWines_transformed,MntFruits_transformed,MntMeatProducts_transformed,MntFishProducts_transformed,MntSweetProducts_transformed,MntGoldProds_transformed,NumDealsPurchases_transformed,NumWebPurchases_transformed,NumCatalogPurchases_transformed,NumStorePurchases_transformed,Has_Children,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,787,5,46,4,1,1,41,61.47912885662432,9.336941813261165,9.339048048725468,0.86,Lost Customers,0.0,1.7320508075688772,2.70805020110221,2.8903717578961645,1.9459101490553128,0.6931471805599453,1.791759469228055,0.5839432579994446,1.0,1.0,1.7320508075688772,0,False,True,False,False,False,False,False,True,False,False
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,742,26,1315,4,5,5,45,77.2005444646098,92.46729815065405,92.48815700428604,4.51,Top Customers,0.0,31.71750305430741,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,3.828641396489095,0.5839432579994446,2.6457513110645907,1.9129311827723887,3.4641016151377544,0,False,False,True,False,False,False,False,False,False,True
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,712,9,96,3,2,2,32,48.706896551724135,31.371222372575552,31.378299120234605,1.7,At Risk,1.0,7.280109889280518,1.791759469228055,2.995732273553991,1.0986122886681098,2.6390573296152584,1.6094379124341005,0.994099345357619,1.7320508075688772,1.0,1.7320508075688772,1,False,True,False,False,False,False,False,True,False,False
4939,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,827,13,317,4,3,3,43,79.76406533575317,44.40685611186288,44.41687344913151,2.49,Low Value Customers,0.0,9.16515138991168,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,3.367295829986474,0.8412383821602403,2.0,1.259921049894873,2.449489742783178,0,False,False,False,True,False,False,False,True,False,False
6565,1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,618,26,1782,1,5,5,15,8.461887477313974,92.46729815065405,92.48815700428604,3.99,Medium Value Customer,0.0,31.81194744117373,4.394449154672439,6.212606095751519,0.0,2.833213344056216,5.176149732573829,0.8412383821602403,3.3166247903554,1.709975946676697,3.0,1,False,True,False,False,False,False,False,False,True,False
2278,1985,2n Cycle,Single,33812.0,1,0,2012-03-11,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,1000,8,133,1,2,2,12,13.22595281306715,26.95083446098331,26.956914053688248,1.24,At Risk,1.0,2.0,2.8903717578961645,2.995732273553991,3.4339872044851463,3.218875824868201,3.688879454113936,0.8412383821602403,1.4142135623730951,1.259921049894873,1.7320508075688772,1,False,False,True,False,False,True,False,False,False,False
9360,1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,850,12,316,3,3,3,33,58.57531760435572,41.83581416328372,41.84525152267088,2.22,Low Value Customers,0.0,9.273618495495704,1.0986122886681098,4.30406509320417,4.248495242049359,3.6635616461296463,3.8918202981106265,0.5839432579994446,2.0,1.4422495703074083,2.23606797749979,0,False,True,False,False,False,False,False,True,False,False
1993,1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,713,17,972,2,3,4,23,36.524500907441016,58.18673883626523,58.199864651477554,2.75,Low Value Customers,0.0,29.444863728670917,0.0,4.465908118654584,0.0,0.0,2.995732273553991,0.994099345357619,1.4142135623730951,1.5874010519681994,3.0,1,False,True,False,False,False,False,False,False,False,True
4047,1954,PhD,Married,65324.0,0,1,2014-11-01,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,35,20,544,5,4,3,54,100.0,70.92918358141634,70.94518384840966,3.76,Medium Value Customer,0.0,19.595917942265423,0.0,4.634728988229636,3.091042453358316,3.49650756146648,1.791759469228055,0.994099345357619,2.449489742783178,1.4422495703074083,3.0,1,False,True,False,False,False,False,False,False,False,True
1409,1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,628,20,444,2,4,3,24,30.648820326678766,70.92918358141634,70.94518384840966,3.24,Medium Value Customer,0.0,16.431676725154983,1.3862943611198906,3.332204510175204,3.688879454113936,1.9459101490553128,4.605170185988092,1.2821890076534144,2.6457513110645907,1.259921049894873,2.23606797749979,1,False,False,False,True,False,False,False,True,False,False
7892,1969,Graduation,Single,18589.0,0,0,2013-02-01,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,673,8,75,1,2,2,12,10.231397459165157,26.95083446098331,26.956914053688248,1.22,At Risk,0.0,2.449489742783178,1.6094379124341005,3.258096538021482,2.772588722239781,2.5649493574615367,2.6390573296152584,0.8412383821602403,1.4142135623730951,1.259921049894873,1.7320508075688772,0,False,False,True,False,False,False,False,True,False,False
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,558,14,257,5,3,3,53,95.23593466424684,46.63960306720794,46.65012406947891,2.7,Low Value Customers,1.0,13.152946437965904,1.6094379124341005,3.4339872044851463,1.3862943611198906,1.9459101490553128,3.737669618283368,1.098158439308463,2.23606797749979,1.259921049894873,2.0,1,False,True,False,False,False,False,False,True,False,False
9422,1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,554,9,131,4,2,2,42,73.72958257713249,31.371222372575552,31.378299120234605,1.89,At Risk,1.0,6.0,1.0986122886681098,3.7612001156935615,3.044522437723423,3.091042453358316,2.3978952727983707,0.8412383821602403,1.4142135623730951,1.259921049894873,2.0,1,False,True,False,False,False,False,False,True,False,False
1966,1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,379,26,1672,1,5,5,15,3.176043557168784,92.46729815065405,92.48815700428604,3.95,Medium Value Customer,0.0,26.15339366124404,4.61512051684126,6.687108607866515,3.091042453358316,4.204692619390966,0.0,0.5839432579994446,2.449489742783178,2.154434690031884,3.1622776601683795,0,False,True,False,False,False,False,False,False,False,True
6864,1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,198,8,30,4,2,1,42,65.19963702359347,26.95083446098331,26.956914053688248,1.63,At Risk,0.0,2.8284271247461903,1.6094379124341005,2.3978952727983707,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.8412383821602403,1.7320508075688772,1.0,1.7320508075688772,0,True,False,False,False,False,False,False,False,True,False
3033,1963,Master,Together,38620.0,0,0,2013-11-05,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,396,11,318,3,2,3,32,43.01270417422868,38.768606224627874,38.77735168057749,1.97,At Risk,0.0,10.583005244258365,2.8903717578961645,3.80666248977032,3.555348061489413,3.1354942159291497,4.499809670330265,0.5839432579994446,1.4142135623730951,1.8171205928321397,1.7320508075688772,0,False,False,False,True,False,False,False,False,True,False
5710,1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,787,9,120,4,2,2,42,67.85390199637024,31.371222372575552,31.378299120234605,1.84,At Risk,0.0,10.488088481701515,0.0,1.791759469228055,1.0986122886681098,0.0,1.3862943611198906,0.8412383821602403,1.4142135623730951,1.259921049894873,2.0,1,False,False,False,True,False,False,False,True,False,False
7373,1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,768,17,302,5,3,3,53,91.87840290381124,58.18673883626523,58.199864651477554,3.16,Medium Value Customer,0.0,9.797958971132712,2.5649493574615367,4.574710978503383,3.5263605246161616,3.1354942159291497,3.784189633918261,1.234306082822791,2.0,1.259921049894873,2.449489742783178,1,True,False,False,False,False,False,False,False,False,True
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,654,18,1196,5,4,5,54,95.23593466424684,62.56202074875959,62.57613354387548,3.37,Medium Value Customer,0.0,21.95449840010015,3.555348061489413,6.156978985585555,4.787491742782046,4.23410650459726,3.1354942159291497,0.5839432579994446,1.7320508075688772,1.8171205928321397,3.0,0,False,True,False,False,False,False,False,False,True,False
10738,1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,464,6,65,3,1,2,31,44.30580762250454,15.358592692828148,15.362057297541169,0.99,Lost Customers,1.0,6.324555320336759,0.0,2.995732273553991,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.5839432579994446,1.4142135623730951,1.0,1.7320508075688772,1,False,False,True,False,False,False,False,False,True,False
4339,1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,340,28,913,4,5,4,45,62.59074410163339,96.41407307171856,96.43582224227384,4.57,Top Customers,0.0,26.49528259898354,2.8903717578961645,5.0238805208462765,0.0,2.19722457733622,3.58351893845611,1.1748209479730365,2.23606797749979,1.9129311827723887,3.4641016151377544,1,False,True,False,False,False,False,False,False,False,True
10755,1976,2n Cycle,Married,23718.0,1,0,2013-02-09,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,665,9,81,2,2,2,22,23.66152450090744,31.371222372575552,31.378299120234605,1.51,At Risk,1.0,2.449489742783178,1.3862943611198906,2.70805020110221,2.772588722239781,2.079441541679836,3.610917912644224,0.994099345357619,1.7320508075688772,1.259921049894873,1.4142135623730951,1,False,True,False,False,False,True,False,False,False,False
8595,1973,Graduation,Widow,42429.0,0,1,2014-11-02,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,34,7,67,1,1,2,11,0.3856624319419238,21.47045557059089,21.475298894653733,0.92,Lost Customers,0.0,7.416198487095663,0.0,1.9459101490553128,1.0986122886681098,0.0,1.6094379124341005,0.8412383821602403,1.0,1.259921049894873,1.7320508075688772,1,False,False,False,False,True,False,False,True,False,False
2968,1943,PhD,Divorced,48948.0,0,0,2013-01-02,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,703,24,902,3,5,4,35,46.64246823956443,86.71628326567433,86.73584480036092,4.04,High value Customer,0.0,20.904544960366877,2.19722457733622,5.332718793265369,5.081404364984463,3.912023005428146,3.7612001156935615,0.8412383821602403,2.6457513110645907,2.223980090569316,2.23606797749979,0,True,False,False,False,False,False,False,False,False,True
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,586,21,1395,5,4,5,54,96.46098003629764,75.19170049616599,75.2086623054365,3.92,Medium Value Customer,0.0,20.518284528683196,4.343805421853684,6.285998094508865,4.418840607796598,5.187385805840755,4.634728988229636,0.8412383821602403,2.8284271247461903,1.9129311827723887,2.23606797749979,1,False,True,False,False,False,False,False,True,False,False
503,1985,Master,Married,20559.0,1,0,2013-12-03,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,368,7,53,1,1,1,11,11.048094373865698,21.47045557059089,21.475298894653733,1.0,Lost Customers,1.0,3.605551275463989,0.6931471805599453,3.4011973816621555,1.3862943611198906,0.0,2.079441541679836,0.8412383821602403,1.4142135623730951,1.0,1.7320508075688772,1,False,True,False,False,False,False,False,False,True,False
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,712,4,22,5,1,1,51,95.23593466424684,3.202525935949481,3.203248364538687,0.85,Lost Customers,0.0,3.0,0.0,1.9459101490553128,1.3862943611198906,0.6931471805599453,1.3862943611198906,0.5839432579994446,0.0,1.0,1.7320508075688772,1,False,False,False,True,False,False,False,True,False,False
7281,1959,PhD,Single,56088.25833333333,0,0,2013-05-11,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,574,9,186,1,2,2,12,19.53266787658802,31.371222372575552,31.378299120234605,1.48,At Risk,0.0,9.0,2.4849066497880004,3.9318256327243257,1.3862943611198906,1.0986122886681098,3.688879454113936,0.5839432579994446,1.0,1.5874010519681994,2.0,0,False,False,True,False,False,False,False,False,False,True
2139,1975,Master,Married,7500.0,1,0,2013-02-10,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,664,8,31,5,2,1,52,80.78493647912886,26.95083446098331,26.956914053688248,1.75,At Risk,1.0,1.7320508075688772,0.6931471805599453,2.3978952727983707,1.3862943611198906,1.0986122886681098,2.5649493574615367,0.994099345357619,1.4142135623730951,1.0,1.7320508075688772,1,False,True,False,False,False,False,False,False,True,False
1371,1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,161,16,984,2,3,4,23,27.54083484573503,53.33784393324312,53.34987593052109,2.47,Low Value Customers,0.0,11.090536506409418,5.10594547390058,5.58724865840025,5.429345628954441,3.4339872044851463,5.1647859739235145,0.5839432579994446,1.4142135623730951,1.709975946676697,3.0,0,False,False,True,False,False,False,False,True,False,False
9909,1996,2n Cycle,Married,7500.0,0,0,2012-09-11,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,816,10,122,4,2,2,42,75.97549909255899,35.47586829048263,35.483870967741936,2.08,Low Value Customers,0.0,1.7320508075688772,2.9444389791664403,2.70805020110221,2.772588722239781,3.1354942159291497,3.9318256327243257,0.994099345357619,1.7320508075688772,1.259921049894873,1.7320508075688772,0,False,True,False,False,False,True,False,False,False,False
7286,1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,561,5,55,1,1,1,11,7.395644283121597,9.336941813261165,9.339048048725468,0.45,Lost Customers,1.0,3.605551275463989,1.9459101490553128,2.772588722239781,1.3862943611198906,1.791759469228055,2.6390573296152584,0.5839432579994446,1.4142135623730951,1.0,1.4142135623730951,1,False,False,False,True,False,False,False,True,False,False
7244,1951,Graduation,Single,52169.74977578475,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,339,10,124,1,2,2,12,3.176043557168784,35.47586829048263,35.483870967741936,1.53,At Risk,1.4142135623730951,6.928203230275509,1.791759469228055,3.8918202981106265,1.9459101490553128,2.3978952727983707,2.079441541679836,0.994099345357619,1.4142135623730951,1.259921049894873,2.0,1,False,False,True,False,False,False,False,True,False,False
6566,1954,PhD,Married,72550.0,1,1,2012-08-11,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,847,28,1319,4,5,5,45,60.48094373865699,96.41407307171856,96.43582224227384,4.55,Top Customers,1.0,28.74021572639983,3.9318256327243257,5.762051382780177,3.9318256327243257,3.6635616461296463,3.6635616461296463,1.355279107152355,2.23606797749979,1.4422495703074083,3.4641016151377544,1,False,True,False,False,False,False,False,False,False,True
8614,1957,Graduation,Widow,65486.0,0,1,2014-12-05,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,1,17,507,4,3,3,43,70.34936479128856,58.18673883626523,58.199864651477554,3.0,Low Value Customers,0.0,15.652475842498529,2.995732273553991,4.836281906951478,3.6375861597263857,4.219507705176107,2.70805020110221,0.5839432579994446,2.0,1.4422495703074083,3.1622776601683795,1,False,False,False,False,True,False,False,True,False,False
4114,1964,Master,Married,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,758,29,1693,5,5,5,55,97.68602540834846,97.60938204781236,97.63140085720732,4.88,Top Customers,0.0,25.495097567963924,3.6375861597263857,6.660575149839686,3.332204510175204,5.123963979403259,3.49650756146648,0.5839432579994446,2.449489742783178,2.154434690031884,3.605551275463989,0,False,True,False,False,False,False,False,False,True,False
1331,1977,Graduation,Single,35790.0,1,0,2013-02-01,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,673,7,72,3,1,2,31,45.48548094373865,21.47045557059089,21.475298894653733,1.25,At Risk,1.0,3.4641016151377544,1.9459101490553128,3.044522437723423,3.4339872044851463,0.6931471805599453,1.3862943611198906,0.8412383821602403,1.4142135623730951,1.0,1.7320508075688772,1,False,False,True,False,False,False,False,True,False,False
2225,1977,Graduation,Divorced,82582.0,0,0,2014-07-06,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,153,21,1617,3,4,5,34,45.48548094373865,75.19170049616599,75.2086623054365,3.54,Medium Value Customer,0.0,22.58317958127243,4.795790545596741,6.311734809152915,5.056245805348308,3.713572066704308,5.488937726156687,0.5839432579994446,2.0,2.154434690031884,2.6457513110645907,0,True,False,False,False,False,False,False,True,False,False
9381,1978,Graduation,Married,66373.0,1,1,2013-12-06,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,365,23,606,3,5,3,35,41.62885662431942,83.49120433017592,83.51003834874803,3.86,Medium Value Customer,1.0,18.110770276274835,2.302585092994046,4.8283137373023015,2.5649493574615367,3.218875824868201,4.700480365792417,1.2821890076534144,2.0,1.4422495703074083,3.1622776601683795,1,False,True,False,False,False,False,False,True,False,False
6260,1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,747,27,1957,3,5,5,35,44.30580762250454,94.8128101037438,94.83419806000452,4.36,High value Customer,0.0,31.368774282716245,3.951243718581428,6.07073772800249,5.198497031265826,4.795790545596741,5.25227342804663,0.5839432579994446,1.7320508075688772,2.223980090569316,3.605551275463989,0,False,False,False,True,False,False,False,False,True,False
10383,1966,Graduation,Divorced,70287.0,0,0,2013-02-04,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,670,21,1093,4,4,4,44,68.98820326678766,75.19170049616599,75.2086623054365,3.71,Medium Value Customer,0.0,17.175564037317667,3.58351893845611,6.180016653652572,4.804021044733257,4.795790545596741,3.713572066704308,0.5839432579994446,2.23606797749979,1.8171205928321397,3.1622776601683795,0,True,False,False,False,False,False,False,True,False,False
7437,1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,222,6,29,4,1,1,41,67.85390199637024,15.358592692828148,15.362057297541169,1.16,At Risk,1.0,3.605551275463989,0.0,2.19722457733622,1.0986122886681098,0.6931471805599453,1.791759469228055,0.5839432579994446,1.0,1.0,2.0,1,False,False,True,False,False,False,False,True,False,False
8557,1982,Graduation,Single,52169.74977578475,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,537,7,46,3,1,1,31,41.62885662431942,21.47045557059089,21.475298894653733,1.22,At Risk,1.0,3.3166247903554,1.3862943611198906,3.1354942159291497,1.0986122886681098,1.0986122886681098,1.9459101490553128,0.8412383821602403,1.4142135623730951,1.0,1.7320508075688772,1,False,False,True,False,False,False,False,True,False,False
8375,1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,278,19,518,2,4,3,24,36.524500907441016,66.5764546684709,66.59147304308594,3.1,Medium Value Customer,0.0,21.14237451186597,0.0,3.367295829986474,0.0,0.0,3.784189633918261,0.994099345357619,2.8284271247461903,1.4422495703074083,2.449489742783178,1,False,True,False,False,False,False,False,False,False,True
